Step	AgentID	acuity	complexity	care_setting
4	9a5575ae-4930-496b-a94f-2d099aa89803	0.0	0.08693883262941615	ED
5	9a5575ae-4930-496b-a94f-2d099aa89803	0.0	0.08693883262941615	ED
6	9a5575ae-4930-496b-a94f-2d099aa89803	0.0	0.08693883262941615	ED
7	9a5575ae-4930-496b-a94f-2d099aa89803	0.0	0.08693883262941615	ED
8	9a5575ae-4930-496b-a94f-2d099aa89803	0.0	0.08693883262941615	ED
9	9a5575ae-4930-496b-a94f-2d099aa89803	0.0	0.08693883262941615	ED
0	c1dff1b9-054a-4d9c-ba4e-6dc09bf4a32d	0.23192181968527043	0.029797219438070344	ED
1	c1dff1b9-054a-4d9c-ba4e-6dc09bf4a32d	0.04192181968527042	0.029797219438070344	ED
2	c1dff1b9-054a-4d9c-ba4e-6dc09bf4a32d	0.0	0.029797219438070344	ED
3	c1dff1b9-054a-4d9c-ba4e-6dc09bf4a32d	0.0	0.029797219438070344	ED
4	c1dff1b9-054a-4d9c-ba4e-6dc09bf4a32d	0.0	0.029797219438070344	ED
5	c1dff1b9-054a-4d9c-ba4e-6dc09bf4a32d	0.0	0.029797219438070344	ED
6	c1dff1b9-054a-4d9c-ba4e-6dc09bf4a32d	0.0	0.029797219438070344	ED
7	c1dff1b9-054a-4d9c-ba4e-6dc09bf4a32d	0.0	0.029797219438070344	ED
8	c1dff1b9-054a-4d9c-ba4e-6dc09bf4a32d	0.0	0.029797219438070344	ED
9	c1dff1b9-054a-4d9c-ba4e-6dc09bf4a32d	0.0	0.029797219438070344	ED
0	9a404aad-18ae-45ab-a895-34a56d5c397b	0.02863797480360336	0.5053552881033624	ED
1	9a404aad-18ae-45ab-a895-34a56d5c397b	0.0	0.5053552881033624	ED
2	9a404aad-18ae-45ab-a895-34a56d5c397b	0.0	0.5053552881033624	ED
3	9a404aad-18ae-45ab-a895-34a56d5c397b	0.0	0.5053552881033624	ED
4	9a404aad-18ae-45ab-a895-34a56d5c397b	0.0	0.5053552881033624	ED
5	9a404aad-18ae-45ab-a895-34a56d5c397b	0.0	0.5053552881033624	ED
6	9a404aad-18ae-45ab-a895-34a56d5c397b	0.0	0.5053552881033624	ED
7	9a404aad-18ae-45ab-a895-34a56d5c397b	0.0	0.5053552881033624	ED
8	9a404aad-18ae-45ab-a895-34a56d5c397b	0.0	0.5053552881033624	ED
9	9a404aad-18ae-45ab-a895-34a56d5c397b	0.0	0.5053552881033624	ED
0	6802546b-0667-4c7c-84bf-fed0ec4ff055	0.0	0.1988376506866485	ED
1	6802546b-0667-4c7c-84bf-fed0ec4ff055	0.0	0.1988376506866485	ED
2	6802546b-0667-4c7c-84bf-fed0ec4ff055	0.0	0.1988376506866485	ED
3	6802546b-0667-4c7c-84bf-fed0ec4ff055	0.0	0.1988376506866485	ED
4	6802546b-0667-4c7c-84bf-fed0ec4ff055	0.0	0.1988376506866485	ED
5	6802546b-0667-4c7c-84bf-fed0ec4ff055	0.0	0.1988376506866485	ED
6	6802546b-0667-4c7c-84bf-fed0ec4ff055	0.0	0.1988376506866485	ED
7	6802546b-0667-4c7c-84bf-fed0ec4ff055	0.0	0.1988376506866485	ED
8	6802546b-0667-4c7c-84bf-fed0ec4ff055	0.0	0.1988376506866485	ED
9	6802546b-0667-4c7c-84bf-fed0ec4ff055	0.0	0.1988376506866485	ED
0	4fd91ce1-9e15-414a-a5eb-43cc2309ea66	0.4598844377795232	0.5449414806032167	ED
1	4fd91ce1-9e15-414a-a5eb-43cc2309ea66	0.2698844377795232	0.5449414806032167	ED
2	4fd91ce1-9e15-414a-a5eb-43cc2309ea66	0.0798844377795232	0.5449414806032167	ED
3	4fd91ce1-9e15-414a-a5eb-43cc2309ea66	0.0	0.5449414806032167	ED
4	4fd91ce1-9e15-414a-a5eb-43cc2309ea66	0.0	0.5449414806032167	ED
5	4fd91ce1-9e15-414a-a5eb-43cc2309ea66	0.0	0.5449414806032167	ED
6	4fd91ce1-9e15-414a-a5eb-43cc2309ea66	0.0	0.5449414806032167	ED
7	4fd91ce1-9e15-414a-a5eb-43cc2309ea66	0.0	0.5449414806032167	ED
8	4fd91ce1-9e15-414a-a5eb-43cc2309ea66	0.0	0.5449414806032167	ED
9	4fd91ce1-9e15-414a-a5eb-43cc2309ea66	0.0	0.5449414806032167	ED
0	94fe38f2-26f0-45da-a5b0-f84a3f8617a7	0.030440622040696697	0.5892656838759087	ED
1	94fe38f2-26f0-45da-a5b0-f84a3f8617a7	0.0	0.5892656838759087	ED
2	94fe38f2-26f0-45da-a5b0-f84a3f8617a7	0.0	0.5892656838759087	ED
3	94fe38f2-26f0-45da-a5b0-f84a3f8617a7	0.0	0.5892656838759087	ED
4	94fe38f2-26f0-45da-a5b0-f84a3f8617a7	0.0	0.5892656838759087	ED
5	94fe38f2-26f0-45da-a5b0-f84a3f8617a7	0.0	0.5892656838759087	ED
6	94fe38f2-26f0-45da-a5b0-f84a3f8617a7	0.0	0.5892656838759087	ED
7	94fe38f2-26f0-45da-a5b0-f84a3f8617a7	0.0	0.5892656838759087	ED
8	94fe38f2-26f0-45da-a5b0-f84a3f8617a7	0.0	0.5892656838759087	ED
9	94fe38f2-26f0-45da-a5b0-f84a3f8617a7	0.0	0.5892656838759087	ED
0	d44a521e-d174-47bd-b01d-ae0488d646d9	0.6194304566778266	0.006498759678061017	ED
1	d44a521e-d174-47bd-b01d-ae0488d646d9	0.4294304566778266	0.006498759678061017	ED
2	d44a521e-d174-47bd-b01d-ae0488d646d9	0.2394304566778266	0.006498759678061017	ED
3	d44a521e-d174-47bd-b01d-ae0488d646d9	0.049430456677826584	0.006498759678061017	ED
4	d44a521e-d174-47bd-b01d-ae0488d646d9	0.0	0.006498759678061017	ED
5	d44a521e-d174-47bd-b01d-ae0488d646d9	0.0	0.006498759678061017	ED
6	d44a521e-d174-47bd-b01d-ae0488d646d9	0.0	0.006498759678061017	ED
7	d44a521e-d174-47bd-b01d-ae0488d646d9	0.0	0.006498759678061017	ED
8	d44a521e-d174-47bd-b01d-ae0488d646d9	0.0	0.006498759678061017	ED
9	d44a521e-d174-47bd-b01d-ae0488d646d9	0.0	0.006498759678061017	ED
0	17180ff7-b0ff-496b-97ab-8b2e50f8b595	0.6158192518328078	0.6981393949882269	ED
1	17180ff7-b0ff-496b-97ab-8b2e50f8b595	0.42581925183280783	0.6981393949882269	ED
2	17180ff7-b0ff-496b-97ab-8b2e50f8b595	0.23581925183280783	0.6981393949882269	ED
3	17180ff7-b0ff-496b-97ab-8b2e50f8b595	0.04581925183280783	0.6981393949882269	ED
4	17180ff7-b0ff-496b-97ab-8b2e50f8b595	0.0	0.6981393949882269	ED
5	17180ff7-b0ff-496b-97ab-8b2e50f8b595	0.0	0.6981393949882269	ED
6	17180ff7-b0ff-496b-97ab-8b2e50f8b595	0.0	0.6981393949882269	ED
7	17180ff7-b0ff-496b-97ab-8b2e50f8b595	0.0	0.6981393949882269	ED
8	17180ff7-b0ff-496b-97ab-8b2e50f8b595	0.0	0.6981393949882269	ED
9	17180ff7-b0ff-496b-97ab-8b2e50f8b595	0.0	0.6981393949882269	ED
0	86686eab-31d7-44a2-90a7-50d651cf28b0	0.15025051651799187	0.15547949981178155	ED
1	86686eab-31d7-44a2-90a7-50d651cf28b0	0.0	0.15547949981178155	ED
2	86686eab-31d7-44a2-90a7-50d651cf28b0	0.0	0.15547949981178155	ED
3	86686eab-31d7-44a2-90a7-50d651cf28b0	0.0	0.15547949981178155	ED
4	86686eab-31d7-44a2-90a7-50d651cf28b0	0.0	0.15547949981178155	ED
5	86686eab-31d7-44a2-90a7-50d651cf28b0	0.0	0.15547949981178155	ED
6	86686eab-31d7-44a2-90a7-50d651cf28b0	0.0	0.15547949981178155	ED
7	86686eab-31d7-44a2-90a7-50d651cf28b0	0.0	0.15547949981178155	ED
8	86686eab-31d7-44a2-90a7-50d651cf28b0	0.0	0.15547949981178155	ED
9	86686eab-31d7-44a2-90a7-50d651cf28b0	0.0	0.15547949981178155	ED
0	42d1f15d-5af6-4d15-97ba-ae5ef58269d5	0.8672130722067812	0.33659454511262676	Outpatient
1	42d1f15d-5af6-4d15-97ba-ae5ef58269d5	0.6772130722067813	0.33659454511262676	ED
2	42d1f15d-5af6-4d15-97ba-ae5ef58269d5	0.4872130722067813	0.33659454511262676	ED
3	42d1f15d-5af6-4d15-97ba-ae5ef58269d5	0.2972130722067813	0.33659454511262676	ED
4	42d1f15d-5af6-4d15-97ba-ae5ef58269d5	0.10721307220678128	0.33659454511262676	ED
5	42d1f15d-5af6-4d15-97ba-ae5ef58269d5	0.0	0.33659454511262676	ED
6	42d1f15d-5af6-4d15-97ba-ae5ef58269d5	0.0	0.33659454511262676	ED
7	42d1f15d-5af6-4d15-97ba-ae5ef58269d5	0.0	0.33659454511262676	ED
8	42d1f15d-5af6-4d15-97ba-ae5ef58269d5	0.0	0.33659454511262676	ED
9	42d1f15d-5af6-4d15-97ba-ae5ef58269d5	0.0	0.33659454511262676	ED
0	2898d79a-6f20-4a25-b6db-b6788bc01d82	0.0	0.09671637683346401	ED
1	2898d79a-6f20-4a25-b6db-b6788bc01d82	0.0	0.09671637683346401	ED
2	2898d79a-6f20-4a25-b6db-b6788bc01d82	0.0	0.09671637683346401	ED
3	2898d79a-6f20-4a25-b6db-b6788bc01d82	0.0	0.09671637683346401	ED
4	2898d79a-6f20-4a25-b6db-b6788bc01d82	0.0	0.09671637683346401	ED
5	2898d79a-6f20-4a25-b6db-b6788bc01d82	0.0	0.09671637683346401	ED
6	2898d79a-6f20-4a25-b6db-b6788bc01d82	0.0	0.09671637683346401	ED
7	2898d79a-6f20-4a25-b6db-b6788bc01d82	0.0	0.09671637683346401	ED
8	2898d79a-6f20-4a25-b6db-b6788bc01d82	0.0	0.09671637683346401	ED
9	2898d79a-6f20-4a25-b6db-b6788bc01d82	0.0	0.09671637683346401	ED
0	36a90522-eb8b-41fd-8bcf-3144014826c6	0.6574943663474597	0.6037260313668911	ED
1	36a90522-eb8b-41fd-8bcf-3144014826c6	0.4674943663474597	0.6037260313668911	ED
2	36a90522-eb8b-41fd-8bcf-3144014826c6	0.2774943663474597	0.6037260313668911	ED
